lat,lng,ALCALDIA,us_dscr
19.3773524893,-99.1670771031,Benito Juárez,Habitacional
19.3704309047,-99.1372374855,Benito Juárez,Habitacional
19.4034639574,-99.1513384214,Benito Juárez,Habitacional
19.3668208296,-99.1773609457,Benito Juárez,Habitacional
19.395477154,-99.1465072935,Benito Juárez,Habitacional
19.3861765372,-99.1349807772,Benito Juárez,Habitacional
19.3693046298,-99.1663251962,Benito Juárez,Habitacional
19.3679558641,-99.1394931935,Benito Juárez,Habitacional
19.3682609517,-99.1746005236,Benito Juárez,Habitacional
19.3701466492,-99.1584561764,Benito Juárez,Habitacional
19.2879577614,-99.2144305503,Tlalpan,Habitacional
19.4010546013,-99.1613039178,Benito Juárez,Habitacional
19.3739462573,-99.1675841677,Benito Juárez,Habitacional
19.3683518185,-99.1628968727,Benito Juárez,Habitacional
19.3924417751,-99.1664515162,Benito Juárez,Habitacional
19.393160248,-99.1662697679,Benito Juárez,Habitacional
19.3776108324,-99.1394546228,Benito Juárez,Habitacional
19.3865046544,-99.1557081906,Benito Juárez,Habitacional
19.398931077,-99.1695010743,Benito Juárez,Habitacional
19.3649991121,-99.1810169736,Benito Juárez,Habitacional
19.3701137334,-99.1847957155,Benito Juárez,Habitacional
19.3820720955,-99.1506797698,Benito Juárez,Habitacional
19.2665017253,-99.1747602609,Tlalpan,Habitacional
19.3673141824,-99.1895413342,Benito Juárez,Habitacional
19.3652298113,-99.1604993684,Benito Juárez,Habitacional
19.2437420842,-99.1526680203,Tlalpan,Habitacional Rural
19.3994556028,-99.140553784,Benito Juárez,Habitacional
19.2750084715,-99.1534856978,Tlalpan,Habitacional
19.2573493348,-99.1829742957,Tlalpan,Habitacional Rural
19.3827260062,-99.1828080089,Benito Juárez,Habitacional
19.3966095331,-99.1329534392,Benito Juárez,Habitacional
19.2779551649,-99.185602988,Tlalpan,Habitacional
19.3962684051,-99.1337305397,Benito Juárez,Habitacional
19.366593173,-99.1758560067,Benito Juárez,Habitacional
19.3869484475,-99.1591912069,Benito Juárez,Habitacional
19.362903141,-99.1552905023,Benito Juárez,Habitacional
19.3986496053,-99.1532300082,Benito Juárez,Habitacional
19.2822876945,-99.198753202,Tlalpan,Habitacional con Comercio en Planta Baja
19.3872370077,-99.1521401206,Benito Juárez,Habitacional
19.3046723277,-99.2251959147,Tlalpan,Habitacional
19.379101556,-99.1680856098,Benito Juárez,Habitacional
19.3801787613,-99.1675434869,Benito Juárez,Habitacional
19.3825769606,-99.1639134675,Benito Juárez,Habitacional
19.3622372008,-99.1708333605,Benito Juárez,Habitacional
19.2696459701,-99.2168303666,Tlalpan,Habitacional
19.3602861581,-99.1477769877,Benito Juárez,Habitacional
19.3755257875,-99.164343276,Benito Juárez,Habitacional
19.3649414249,-99.188653049,Benito Juárez,Habitacional
19.3704810739,-99.1755648309,Benito Juárez,Habitacional
19.3677820127,-99.1682488747,Benito Juárez,Habitacional
19.389725343,-99.1454907106,Benito Juárez,Habitacional
19.218183005,-99.1696903761,Tlalpan,PreservaciÃ?Â³n EcolÃ?Â³gica
19.3993060237,-99.1604965864,Benito Juárez,Habitacional
19.380912247,-99.148307871,Benito Juárez,Habitacional
19.3744685843,-99.1746737526,Benito Juárez,Habitacional
19.2779566197,-99.1546757734,Tlalpan,Habitacional
19.3740282464,-99.1480532707,Benito Juárez,HABITACIONAL
19.3950749872,-99.1677765314,Benito Juárez,Habitacional
19.3700354604,-99.1446251756,Benito Juárez,Habitacional
19.3869916783,-99.1458575827,Benito Juárez,Habitacional
19.3908501275,-99.1659968247,Benito Juárez,Habitacional
19.3813079956,-99.1723260361,Benito Juárez,Habitacional
19.4011380787,-99.1542482741,Benito Juárez,Habitacional
19.3910663768,-99.1659395208,Benito Juárez,Habitacional
19.3819805737,-99.1468473086,Benito Juárez,Habitacional
19.2186629765,-99.2083083785,Tlalpan,Habitacional Rural con Comercio y Servicios
19.3899350923,-99.1423537889,Benito Juárez,Habitacional
19.373514685,-99.1804780111,Benito Juárez,Habitacional con Comercio (En Planta Baja)
19.2003224451,-99.1425050468,Tlalpan,Habitacional Rural con Comercio y Servicios
19.3705614953,-99.1887624229,Benito Juárez,Habitacional
19.4007102027,-99.1446989255,Benito Juárez,Habitacional
19.2776754523,-99.1472028448,Tlalpan,Habitacional
19.3708477416,-99.1891872359,Benito Juárez,Habitacional
19.388941136,-99.1402266979,Benito Juárez,Habitacional
19.374585781,-99.1506650248,Benito Juárez,Habitacional
19.3713066282,-99.1630319721,Benito Juárez,Habitacional
19.3771247719,-99.142727643,Benito Juárez,HABITACIONAL
19.366631344,-99.1862672743,Benito Juárez,Habitacional
19.3890285578,-99.1416382596,Benito Juárez,Habitacional
19.3765499621,-99.1524423077,Benito Juárez,Habitacional
19.3925648386,-99.1385769553,Benito Juárez,Habitacional
19.2799817922,-99.1597329626,Tlalpan,Habitacional
19.3618931007,-99.1570457367,Benito Juárez,Habitacional
19.3848376307,-99.1433606973,Benito Juárez,Habitacional
19.2775529173,-99.0386499466,Tláhuac,Produccion Rural Agroindustrial
19.3985151325,-99.1345818673,Benito Juárez,Habitacional
19.3937715451,-99.1351405571,Benito Juárez,Habitacional
19.298060397,-99.1699684495,Tlalpan,Habitacional
19.3918335575,-99.1413675445,Benito Juárez,Habitacional
19.4023259562,-99.1399659088,Benito Juárez,Habitacional
19.383006485,-99.1386688451,Benito Juárez,Habitacional
19.3960403716,-99.1372652595,Benito Juárez,Habitacional
19.3887331054,-99.1786442357,Benito Juárez,Habitacional
19.3903491592,-99.1595911265,Benito Juárez,Habitacional
19.386587179,-99.1777951273,Benito Juárez,Habitacional
19.2765174786,-99.1904341118,Tlalpan,Habitacional
19.3937031476,-99.1565288488,Benito Juárez,Habitacional
19.2861691607,-99.1331896379,Tlalpan,Habitacional
19.3865476298,-99.1791068794,Benito Juárez,Equipamiento
19.2815664437,-99.206199124,Tlalpan,Habitacional
19.3925517818,-99.134332978,Benito Juárez,Habitacional
19.285982709,-99.2152873144,Tlalpan,Habitacional
19.3923745041,-99.1323585219,Benito Juárez,Habitacional
19.2841274688,-99.2163897174,Tlalpan,Habitacional
19.3821987592,-99.1704325912,Benito Juárez,Habitacional
19.3881237439,-99.1773196142,Benito Juárez,Habitacional con Comercio
19.3795294272,-99.1512010151,Benito Juárez,Habitacional
19.4000136216,-99.1658974964,Benito Juárez,Habitacional
19.2434521879,-99.1520886523,Tlalpan,Habitacional Rural
19.2042435023,-99.1347646634,Tlalpan,Habitacional Rural
19.3889713002,-99.1447847934,Benito Juárez,Habitacional
19.2663801801,-99.2393980627,Tlalpan,Habitacional Rural
19.3732106533,-99.1528527098,Benito Juárez,Habitacional
19.2116571521,-99.2018148046,Tlalpan,ProducciÃ?Â³n Rural Agroindustrial
19.3764859706,-99.1473007017,Benito Juárez,HABITACIONAL CON COMERCIO EN P.B.
19.3698929879,-99.1460768103,Benito Juárez,Habitacional
19.2962256225,-99.1632971087,Tlalpan,Habitacional
19.3824710485,-99.1522979576,Benito Juárez,Habitacional
19.3837937463,-99.1898731672,Benito Juárez,Habitacional
19.2702440931,-99.175597881,Tlalpan,Habitacional
19.3892062419,-99.136451997,Benito Juárez,Habitacional
19.3943701214,-99.1574636266,Benito Juárez,Habitacional
19.2573583068,-99.1833683794,Tlalpan,Habitacional Rural
19.2588010241,-99.1654090668,Tlalpan,Habitacional Rural con Comercio y Servicios
19.3877591043,-99.1526753243,Benito Juárez,Habitacional
19.3783310455,-99.1527318719,Benito Juárez,Habitacional
19.3765571431,-99.1528971209,Benito Juárez,Habitacional
19.3905462006,-99.1474439345,Benito Juárez,Habitacional
19.2928873265,-99.1914189504,Tlalpan,Habitacional
19.2978664178,-99.22889226,Tlalpan,Habitacional
19.291245862,-99.215341987,Tlalpan,Habitacional
19.3822484759,-99.1646438765,Benito Juárez,Habitacional
19.3928546628,-99.137631425,Benito Juárez,Habitacional
19.2839180627,-99.2122070949,Tlalpan,Habitacional
19.3767678293,-99.1468150773,Benito Juárez,HABITACIONAL CON COMERCIO EN P.B.
19.4021542484,-99.1440636538,Benito Juárez,Habitacional
19.2346052756,-99.1461167502,Tlalpan,ProducciÃ?Â³n Rural Agroindustrial
19.2116580252,-99.2097713974,Tlalpan,ProducciÃ?Â³n Rural Agroindustrial
19.3607592105,-99.1421516138,Benito Juárez,Habitacional
19.3726074704,-99.1481343709,Benito Juárez,Habitacional
19.2624487193,-99.1733144006,Tlalpan,Habitacional
19.3926409025,-99.1343195038,Benito Juárez,Habitacional
19.285313077,-99.2339113892,Tlalpan,Habitacional
19.3165624857,-99.147981752,Coyoacán,Habitacional con Comercio en Planta Baja
19.3174525617,-99.1492954435,Coyoacán,Habitacional con Comercio en Planta Baja
19.2861789444,-99.2318780645,Tlalpan,Habitacional
19.2803585628,-99.2351524694,Tlalpan,Habitacional con Comercio en Planta Baja
19.315189808,-99.1181528155,Coyoacán,Habitacional
19.3195776591,-99.1119341173,Coyoacán,Habitacional con Comercio en Planta Baja
19.3113240699,-99.1448173794,Coyoacán,Habitacional
19.3725720998,-99.1527364987,Benito Juárez,Habitacional
19.3456506872,-99.1335130252,Coyoacán,Habitacional
19.3621437144,-99.1852432037,Benito Juárez,Habitacional
19.3199901802,-99.1008772723,Coyoacán,Equipamiento
19.3023347649,-99.1763551082,Tlalpan,Habitacional
19.2721049326,-99.1901704817,Tlalpan,Habitacional
19.320028371,-99.120448162,Coyoacán,Habitacional
19.3348588061,-99.1181808858,Coyoacán,Habitacional con Comercio en Planta Baja
19.3516307028,-99.1472389318,Coyoacán,Habitacional
19.2817591861,-99.1880306875,Tlalpan,Habitacional
19.2723981667,-99.1609562975,Tlalpan,Habitacional
19.3109307375,-99.1436849968,Coyoacán,Habitacional
19.337494766,-99.1177846221,Coyoacán,Habitacional con Comercio en Planta Baja
19.2587771917,-99.1759862558,Tlalpan,Habitacional Rural
19.3341554746,-99.119189953,Coyoacán,Habitacional con Comercio en Planta Baja
19.280592147,-99.1489301277,Tlalpan,Habitacional
19.3173502614,-99.146472607,Coyoacán,Habitacional con Comercio en Planta Baja
19.3181239627,-99.1416315272,Coyoacán,Habitacional
19.209798057,-98.9849664644,Milpa Alta,Rescate EcolÃ?Â³gico
19.3132880544,-99.1303517611,Coyoacán,Habitacional
19.3202295078,-99.1373679066,Coyoacán,Habitacional
19.2804755524,-99.1987510918,Tlalpan,Habitacional
19.2796786963,-99.1996873007,Tlalpan,Habitacional
19.3903814723,-99.1777395101,Benito Juárez,Centro de Barrio
19.2836349948,-99.1998229542,Tlalpan,Habitacional con Comercio en Planta Baja
19.386237526,-99.1714067848,Benito Juárez,Habitacional
19.3386698405,-99.1713607189,Coyoacán,Habitacional Unifamiliar  y/o Plurifamiliar
19.2819537159,-99.2214519484,Tlalpan,Habitacional
19.3975670808,-99.1610540758,Benito Juárez,Habitacional
19.3897632516,-99.1438509043,Benito Juárez,Centro de Barrio
19.3953699606,-99.1695742288,Benito Juárez,Habitacional
19.2926779114,-99.2345449239,Tlalpan,Habitacional
19.3285200349,-99.1361189846,Coyoacán,Habitacional
19.2829861507,-99.2318471851,Tlalpan,Habitacional con Comercio en Planta Baja
19.3424969713,-99.1271049042,Coyoacán,Habitacional
19.4038248315,-99.1532598104,Benito Juárez,Habitacional
19.2092528045,-99.1795899238,Tlalpan,ProducciÃ?Â³n Rural Agroindustrial
19.3917708932,-99.1713024906,Benito Juárez,Habitacional
19.3354404597,-99.1709633501,Coyoacán,Habitacional con Comercio en Planta Baja
19.3775156254,-99.1554560792,Benito Juárez,Habitacional
19.3213730002,-99.153023293,Coyoacán,Habitacional con Comercio en Planta Baja
19.4025637756,-99.1462540393,Benito Juárez,Habitacional
19.3820838274,-99.1647526356,Benito Juárez,Habitacional
19.2730905975,-99.1813652322,Tlalpan,Habitacional
19.3618242241,-99.1405286498,Benito Juárez,Habitacional
19.3986280936,-99.1564721351,Benito Juárez,Habitacional
19.2727064994,-99.1921933836,Tlalpan,Habitacional
19.3839404672,-99.159141235,Benito Juárez,Habitacional
19.3198427664,-99.1275396996,Coyoacán,Habitacional
19.2875331372,-99.1316510968,Tlalpan,Habitacional
19.3740709622,-99.1637112978,Benito Juárez,Habitacional
19.2860009491,-99.2063294815,Tlalpan,Habitacional
19.3743432855,-99.1754874753,Benito Juárez,Habitacional
19.3519598794,-99.134769588,Coyoacán,Habitacional
19.3733077182,-99.1498439581,Benito Juárez,Habitacional
19.3829070817,-99.1503114184,Benito Juárez,Habitacional
19.3722843212,-99.1900391623,Benito Juárez,Equipamiento
19.2843619202,-99.2210356937,Tlalpan,Habitacional
19.32791453,-99.115343565,Coyoacán,Habitacional
19.3956365452,-99.1822068066,Benito Juárez,Habitacional
19.2696449282,-99.2232433852,Tlalpan,Habitacional
19.2701633683,-99.230911293,Tlalpan,Habitacional
19.3801630339,-99.1819216558,Benito Juárez,Habitacional
19.3610951557,-99.161506292,Benito Juárez,Habitacional
19.3411782177,-99.1850780548,Coyoacán,Habitacional
19.2458972747,-99.2329534871,Tlalpan,Habitacional hasta 20 habitantes por hectÃ?Â¡rea
19.267368784,-99.2390828299,Tlalpan,Habitacional Rural
19.3815819476,-99.1441999609,Benito Juárez,Habitacional
19.3846692109,-99.1453136021,Benito Juárez,Habitacional
19.3774574527,-99.1892040317,Benito Juárez,Habitacional
19.3104338169,-99.1293599672,Coyoacán,Habitacional
19.2742679429,-99.1742273922,Tlalpan,Habitacional
19.3756870856,-99.1397088033,Benito Juárez,Habitacional
19.2651657273,-99.1657174722,Tlalpan,Habitacional
19.291754376,-99.1192889363,Tlalpan,Habitacional
19.3970984281,-99.1624971235,Benito Juárez,Habitacional
19.3582683244,-99.1694124783,Coyoacán,Habitacional unifamiliar y/o plurifamiliar
19.4008362584,-99.1443362512,Benito Juárez,Habitacional
19.3850129814,-99.1383011248,Benito Juárez,Habitacional
19.344284284,-99.159393673,Coyoacán,Habitacional Unifamiliar y/o  Plurifamiliar y/u Oficinas y/o Comercio
19.3437893178,-99.1552994392,Coyoacán,Habitacional
19.3723668789,-99.1775186094,Benito Juárez,Habitacional
19.3702366399,-99.177741466,Benito Juárez,Habitacional
19.338789427,-99.1840519129,Coyoacán,Habitacional
19.3623457371,-99.1585673559,Benito Juárez,Habitacional
19.3668923035,-99.1399941386,Benito Juárez,Habitacional
19.3627427934,-99.1412072505,Benito Juárez,Habitacional
19.3491872901,-99.1502389483,Coyoacán,Habitacional
19.3820004643,-99.1776954824,Benito Juárez,Habitacional con Comercio
19.3153735298,-99.1292781142,Coyoacán,Habitacional
19.3915228297,-99.132957965,Benito Juárez,Habitacional
19.3856475065,-99.1434609742,Benito Juárez,Habitacional
19.391823695,-99.1752159785,Benito Juárez,Habitacional con Comercio
19.3063259354,-99.107805179,Coyoacán,Habitacional
19.3833165822,-99.138046372,Benito Juárez,Habitacional
19.3484561897,-99.1325676038,Coyoacán,Habitacional
19.3421502129,-99.176875086,Coyoacán,Habitacion Unifamiliar
19.3670912727,-99.1790112889,Benito Juárez,Habitacional
19.3289185689,-99.1478494866,Coyoacán,Habitacional
19.3411266913,-99.1699815723,Coyoacán,Habitacional
19.3428403122,-99.1328183573,Coyoacán,Habitacional
19.3315685328,-99.1473051995,Coyoacán,Habitacional
19.3364178579,-99.1296804145,Coyoacán,Habitacional
19.3713088702,-99.1814061893,Benito Juárez,Habitacional con Comercio (En Planta Baja)
19.3203656113,-99.167861472,Coyoacán,Habitacional con Comercio en Planta Baja
19.3330524182,-99.1230336848,Coyoacán,Habitacional con Comercio en Planta Baja
19.3955958287,-99.1354571898,Benito Juárez,Centro de Barrio
19.3943130951,-99.1780034944,Benito Juárez,Equipamiento
19.3258712133,-99.1383118971,Coyoacán,Habitacional con Comercio en Planta Baja
19.3692175913,-99.1850430518,Benito Juárez,Habitacional
19.3355634823,-99.1292746923,Coyoacán,Habitacional
19.3154881827,-99.1302707748,Coyoacán,Habitacional
19.3413723532,-99.1183054869,Coyoacán,Habitacional con Comercio en Planta Baja
19.33802955,-99.1353959838,Coyoacán,Habitacional
19.327935587,-99.1533124356,Coyoacán,Habitacional con Comercio en Planta Baja
19.3827912538,-99.1437940838,Benito Juárez,Habitacional
19.3216668606,-99.1510783004,Coyoacán,Habitacional con Comercio en Planta Baja
19.3798786934,-99.1478156121,Benito Juárez,Habitacional
19.3260000851,-99.1598242402,Coyoacán,Habitacional con Comercio en Planta Baja
19.3019850018,-99.1062363962,Coyoacán,Habitacional
19.3043085743,-99.107660934,Coyoacán,Habitacional
19.3547199793,-99.1555970354,Coyoacán,Equipamiento Existente
19.3976530418,-99.138138444,Benito Juárez,Habitacional
19.3152687295,-99.1586609708,Coyoacán,Habitacional con Comercio en Planta Baja
19.3788966596,-99.1384102063,Benito Juárez,Habitacional
19.3945337537,-99.1397974638,Benito Juárez,Habitacional
19.32746745,-99.1619982891,Coyoacán,Habitacional con Comercio en Planta Baja
19.3969749924,-99.1380250148,Benito Juárez,Habitacional
19.3880957231,-99.1809227001,Benito Juárez,Habitacional
19.3976623178,-99.1432319945,Benito Juárez,Centro de Barrio
19.3708023033,-99.1446638572,Benito Juárez,Habitacional
19.3965137167,-99.1652970824,Benito Juárez,Centro de Barrio
19.3956939893,-99.1632342744,Benito Juárez,Habitacional
19.3944992217,-99.1624573567,Benito Juárez,Habitacional
19.3762636338,-99.1438052731,Benito Juárez,HABITACIONAL
19.387088149,-99.1369717284,Benito Juárez,Habitacional
19.3667195074,-99.14049618,Benito Juárez,Habitacional
19.3952682907,-99.1591843603,Benito Juárez,Habitacional
19.3847702518,-99.1492089741,Benito Juárez,Habitacional
19.383671829,-99.1548863866,Benito Juárez,Habitacional
19.3903412597,-99.1630628258,Benito Juárez,Habitacional
19.3675035499,-99.1481075112,Benito Juárez,Habitacional
19.3829856801,-99.1547547449,Benito Juárez,Habitacional
19.3931987682,-99.1568535788,Benito Juárez,Habitacional
19.3775495519,-99.1547628564,Benito Juárez,Habitacional
19.3648417799,-99.143612703,Benito Juárez,Habitacional
19.3888388361,-99.167040378,Benito Juárez,Habitacional
19.39235111,-99.1460349699,Benito Juárez,Equipamiento
19.4019347883,-99.148119173,Benito Juárez,Centro de Barrio
19.3743145123,-99.1537808023,Benito Juárez,Habitacional
19.3942442395,-99.150839181,Benito Juárez,Equipamiento
19.3957102068,-99.1411111413,Benito Juárez,Habitacional
19.3921484186,-99.1475209721,Benito Juárez,Habitacional
19.3735052394,-99.1633763678,Benito Juárez,Habitacional
19.3898638027,-99.1382090485,Benito Juárez,Habitacional
19.3986050544,-99.1570472235,Benito Juárez,Habitacional
19.3766479519,-99.1594196618,Benito Juárez,Habitacional
19.3889347122,-99.1639063986,Benito Juárez,Habitacional
19.3683762234,-99.1572517217,Benito Juárez,Habitacional
19.3608218599,-99.1408915933,Benito Juárez,Equipamiento
19.3625825034,-99.1553437785,Benito Juárez,Habitacional
19.3601989598,-99.1416983976,Benito Juárez,Habitacional
19.3843449891,-99.1573232455,Benito Juárez,Habitacional
19.384233672,-99.1614177261,Benito Juárez,Habitacional
19.3845532766,-99.1629385921,Benito Juárez,Habitacional
19.3597490017,-99.1445694715,Benito Juárez,Habitacional
19.3688036984,-99.1886862333,Benito Juárez,Habitacional
19.3803811989,-99.1528898762,Benito Juárez,Habitacional
19.3759800116,-99.1779571936,Benito Juárez,Habitacional
19.3898019979,-99.1415783811,Benito Juárez,Habitacional
19.3853338948,-99.1587620523,Benito Juárez,Habitacional
19.376971788,-99.1357987906,Benito Juárez,Habitacional
19.3746610439,-99.1745787663,Benito Juárez,Habitacional
19.3807701572,-99.1575441799,Benito Juárez,Habitacional
19.3886358646,-99.1526719124,Benito Juárez,Habitacional
19.3887514536,-99.1512347579,Benito Juárez,Habitacional
19.3585475914,-99.1499204097,Benito Juárez,Habitacional
19.3980261548,-99.1619033937,Benito Juárez,Habitacional
19.3888838397,-99.1855630725,Benito Juárez,Habitacional
19.3639966824,-99.1479091058,Benito Juárez,Habitacional
19.3678263379,-99.1798854513,Benito Juárez,Habitacional
19.3715775634,-99.1465528687,Benito Juárez,Habitacional
19.3741093123,-99.1433436191,Benito Juárez,HABITACIONAL CON COMERCIO EN P.B.
19.3800872167,-99.1826011151,Benito Juárez,Habitacional
19.3789305684,-99.1821596534,Benito Juárez,Habitacional
19.3746705514,-99.1873168507,Benito Juárez,Habitacional Mixto
19.3982937457,-99.1719434952,Benito Juárez,Habitacional con Comercio
19.3850220537,-99.1386048408,Benito Juárez,Habitacional
19.3814040319,-99.1823041232,Benito Juárez,Habitacional
19.3736771145,-99.1759231158,Benito Juárez,Habitacional
19.3839425098,-99.1347030075,Benito Juárez,Habitacional
19.3971011443,-99.1623196543,Benito Juárez,Habitacional
19.3720364802,-99.1806071949,Benito Juárez,Habitacional con Comercio (En Planta Baja)
19.3662653694,-99.1400080711,Benito Juárez,Habitacional
19.3799475685,-99.1449416283,Benito Juárez,Habitacional
19.3718463436,-99.1809509707,Benito Juárez,Habitacional con Comercio (En Planta Baja)
19.3879826975,-99.1888288172,Benito Juárez,Habitacional
19.3758697724,-99.1805666494,Benito Juárez,Habitacional
19.3728342583,-99.1814518662,Benito Juárez,Habitacional con Comercio (En Planta Baja)
19.3835069359,-99.1388977099,Benito Juárez,Habitacional
19.3935175655,-99.1847139943,Benito Juárez,Habitacional
19.3852999613,-99.1791787334,Benito Juárez,Habitacional con Comercio
19.3697781323,-99.1859363818,Benito Juárez,Habitacional
19.3946217517,-99.1813765758,Benito Juárez,Habitacional
19.3781708762,-99.1842873455,Benito Juárez,Habitacional
19.3791488766,-99.1453300418,Benito Juárez,Habitacional
19.3971062151,-99.1499655284,Benito Juárez,Habitacional
19.4009294915,-99.1419088397,Benito Juárez,Habitacional
19.399116678,-99.1445625977,Benito Juárez,Habitacional
19.3654117901,-99.1896243824,Benito Juárez,Habitacional
19.4035236528,-99.1481028794,Benito Juárez,Habitacional
19.396455105,-99.1424308087,Benito Juárez,Habitacional
19.381479,-99.1882395,Benito Juárez,Habitacional
19.3996612585,-99.1402956964,Benito Juárez,Habitacional
19.377003017,-99.1903633286,Benito Juárez,Habitacional
19.3633307672,-99.1467531506,Benito Juárez,Centro de Barrio
19.3904072314,-99.1829485239,Benito Juárez,Habitacional
19.3741895352,-99.1502471212,Benito Juárez,Habitacional
19.3949866114,-99.1363003335,Benito Juárez,Habitacional
19.3868494415,-99.182264822,Benito Juárez,Habitacional
19.3791583612,-99.1456739554,Benito Juárez,Habitacional
19.3581154171,-99.1414655315,Benito Juárez,Habitacional
19.3853656581,-99.1693387206,Benito Juárez,Espacios Abiertos
19.357816587,-99.1403535104,Benito Juárez,Habitacional
19.3783845576,-99.1363439635,Benito Juárez,Habitacional
19.4000423217,-99.157739072,Benito Juárez,Habitacional
19.3913270576,-99.1698332018,Benito Juárez,Habitacional
19.3715530122,-99.154019146,Benito Juárez,Habitacional
19.3963400721,-99.1686702046,Benito Juárez,Habitacional
19.3726671813,-99.1600524907,Benito Juárez,Habitacional
19.3927123633,-99.1544827871,Benito Juárez,Habitacional
19.3907144953,-99.1470675341,Benito Juárez,Habitacional
19.3849720489,-99.1760652985,Benito Juárez,Habitacional con Comercio
19.3836986717,-99.1730460316,Benito Juárez,Habitacional
19.3869448581,-99.136992733,Benito Juárez,Habitacional
19.3893722981,-99.1540778677,Benito Juárez,Habitacional
19.3921020991,-99.1454630437,Benito Juárez,Habitacional
19.3724285978,-99.1444485028,Benito Juárez,CENTRO DE BARRIO
19.3939712947,-99.1857960338,Benito Juárez,Habitacional
19.3953451606,-99.1580628087,Benito Juárez,Habitacional
19.3823694369,-99.1514670462,Benito Juárez,Habitacional
19.3840589602,-99.1545730841,Benito Juárez,Habitacional
19.383739005,-99.1548757929,Benito Juárez,Habitacional
19.3999144928,-99.155287317,Benito Juárez,Habitacional
19.3918178402,-99.1707560079,Benito Juárez,Habitacional
19.3901804918,-99.1666187344,Benito Juárez,Habitacional
19.3784148074,-99.1550481508,Benito Juárez,Habitacional
19.3922182987,-99.1576012512,Benito Juárez,Habitacional
19.3901254663,-99.1673062013,Benito Juárez,Habitacional
19.3127599216,-99.1091896553,Coyoacán,Habitacional
19.3998511217,-99.1409063555,Benito Juárez,Habitacional
19.3745141037,-99.1558250287,Benito Juárez,Habitacional
19.3941499121,-99.1559247462,Benito Juárez,Habitacional
19.392760201,-99.1566025667,Benito Juárez,Habitacional
19.3882909974,-99.1655528255,Benito Juárez,Habitacional
19.3898822466,-99.1740889288,Benito Juárez,Habitacional Mixto
19.3875534011,-99.1466410072,Benito Juárez,Equipamiento
19.3869852514,-99.1596572799,Benito Juárez,Habitacional
19.3875729602,-99.1520801105,Benito Juárez,Habitacional
19.3878349966,-99.1406803204,Benito Juárez,Habitacional
19.3807532405,-99.1435978009,Benito Juárez,Habitacional
19.3639788835,-99.1886536784,Benito Juárez,Equipamiento
19.3781032437,-99.1644626881,Benito Juárez,Habitacional
19.3750336017,-99.1512549098,Benito Juárez,Habitacional
